"Subject" "Date" "Unique_ID" "Cell_Type" "Contrast_Agent" "Protocol" "Parameter" "Statistic" "Value"
"111" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 57.6
"112" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 75.2
"113" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 4.97
"114" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 1.68
"115" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 2.8
"116" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 8.49
"117" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 0.99
"118" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.19
"119" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.76
"120" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.28
"121" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 64.7
"122" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 4.96
"123" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 57.3
"124" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 73.4
"125" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 3.91
"126" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.28
"127" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 2.32
"128" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 6.39
"129" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 1.12
"130" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.21
"131" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.85
"132" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.45
"133" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 66.8
"134" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 5.27
"135" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 59
"136" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 76.1
"137" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 4.84
"138" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 1.54
"139" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 2.86
"140" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 7.92
"141" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 1.01
"142" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.21
"143" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.78
"144" "Gela" "090417" "Gela090417MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.27
"145" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 63.6
"146" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 5.63
"147" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 56.4
"148" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 73.7
"149" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 4.69
"150" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 1.72
"151" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 2.36
"152" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 8.08
"153" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 1.03
"154" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.27
"155" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.75
"156" "Martin" "111317" "Martin111317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.42
"157" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 64.7
"158" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 6.48
"159" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 55.9
"160" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 75.6
"161" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 4.61
"162" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.78
"163" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 2.21
"164" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 7.92
"165" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 1.07
"166" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.4
"167" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.76
"168" "Martin" "000000" "Martin000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.49
"169" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 62.9
"170" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 7.07
"171" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 55.6
"172" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 76.8
"173" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 4.21
"174" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.64
"175" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 1.9
"176" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 7.39
"177" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 1.1
"178" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.3
"179" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.78
"180" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.65
"181" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 66
"182" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 6.13
"183" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 57.7
"184" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 78.5
"185" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 5.17
"186" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 1.78
"187" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 2.9
"188" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 8.85
"189" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 0.97
"190" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.19
"191" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.74
"192" "Philip" "000000" "Philip000000MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.25
"193" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 65.9
"194" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 5.2
"195" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 58.4
"196" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 75.7
"197" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 6.69
"198" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.51
"199" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 4.38
"200" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 9.32
"201" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 0.83
"202" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.1
"203" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.72
"204" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 0.98
"205" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 64.9
"206" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 5.28
"207" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 58
"208" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 75.6
"209" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 6.56
"210" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.56
"211" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 4.15
"212" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 9.41
"213" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.83
"214" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.094
"215" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.7
"216" "Gela" "030117" "Gela030117NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 1.02
"217" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 66.3
"218" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 5.01
"219" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 58.9
"220" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 75.1
"221" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 7.21
"222" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.18
"223" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 5.35
"224" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 9.29
"225" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 0.79
"226" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.059
